PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;TERCERO;AGENCIA DE CALIDAD DE LA EDUCACION;61980230-6;CHILE;NO REGISTRA REGION
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10008;2016;2016;EDUARDO GRATACOS N.;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO  REGIONAL DE INNOVACION HORTOFRUTICOLA DE LA REGION DE VALPARAISO (CERES);SIN INFORMACION;CHILE;REGION DE VALPARAISO
REGIONAL;II CONCURSO DE FORTALECIMIENTO A LA CONTINUIDAD DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO-2016;R15A10001;2015;2016;EDUARDO GRATACOS;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO  REGIONAL DE INNOVACION HORTOFRUTICOLA DE LA REGION DE VALPARAISO (CERES);SIN INFORMACION;CHILE;REGION DE VALPARAISO
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20003;2016;2016;PAULA PIMENTEL PIMENTEL;MUJER;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS AVANZADOS EN FRUTICULTURA;65088704-2;CHILE;REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20006;2016;2016;RUBEN ALMADA;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS AVANZADOS EN FRUTICULTURA;65088704-2;CHILE;REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10009;2016;2016;BERNARDO BROITMAN ROJAS;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ARIDAS (CEAZA);SIN INFORMACION;CHILE;REGION DE COQUIMBO
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20007;2016;2016;ANIBAL CONCHA MEYER;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS EN ALIMENTOS PROCESADOS;65076479-K;CHILE;REGION DEL MAULE
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20010;2016;2016;RODRIGO SALAZAR MEJIAS;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS EN ALIMENTOS PROCESADOS;65076479-k;CHILE;NO REGISTRA REGION
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10002;2016;2016;CESAR BURGOS;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE GENOMICA NUTRICIONAL AGROACUICOLA (CGNA);SIN INFORMACION;CHILE;REGION DE LA ARAUCANIA
REGIONAL;II CONCURSO DE FORTALECIMIENTO A LA CONTINUIDAD DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO-2016;R15A10002;2015;2016;LUIS ROJAS ARAYA;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACION CIENTIFICO TECNOLOGICO PARA LA MINERIA (CICITEM);SIN INFORMACION;CHILE;REGION DE ANTOFAGASTA
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10013;2016;2016;DANIELA NUÃ±EZ BERNAL;MUJER;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACION EN POLIMEROS AVANZADOS (CIPA);SIN INFORMACION;CHILE;REGION DEL BIO-BIO
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20001;2016;2016;CLAUDIO PARRA MONTES;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACIONES DEL HOMBRE EN EL DESIERTO;65412080-3;CHILE;REGION DE ARICA Y PARINACOTA
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20016;2016;2016;CRISTHIAN CERNA MOSCOSO;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACIONES DEL HOMBRE EN EL DESIERTO;65412080-3;CHILE;REGION DE ARICA Y PARINACOTA
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10003;2016;2016;CLAUDIO PARRA MONTES;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACIONES DEL HOMBRE EN EL DESIERTO (CIHDE);SIN INFORMACION;CHILE;REGION DE ARICA Y PARINACOTA
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20015;2016;2016;JULISSA SANTIS BERNAL;MUJER;BENEFICIARIA PRINCIPAL;CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES;65072516-6;CHILE;REGION DE VALPARAISO
REGIONAL;VII CONCURSO DE FORTALECIMIENTO ANUAL DE CENTROS REGIONALES 2016;R16F20017;2016;2016;CAROLINE LEON CARRASCO;MUJER;BENEFICIARIA PRINCIPAL;CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES;65072516-6;CHILE;REGION DE VALPARAISO
REGIONAL;II CONCURSO DE FORTALECIMIENTO DE CENTROS REGIONALES PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON EMPRESAS 2016;R16F10010;2016;2016;ARACELI OLIVARES MIRALLES;MUJER;BENEFICIARIA PRINCIPAL;CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES (CREAS);SIN INFORMACION;CHILE;REGION DE VALPARAISO
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160007;2016;2016;ANDRES BERNASCONI RAMIREZ;HOMBRE;INSTITUCION ASOCIADA;FUNDACION INSTITUTO PROFESIONAL DUOC UC;72754700-2;CHILE;NO REGISTRA REGION
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;TERCERO;JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECAS;60908000-0;CHILE;NO REGISTRA REGION
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;TERCERO;ORGANIZACION DE ESTADOS IBEROAMERICANOS;69508200-2;CHILE;NO REGISTRA REGION
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160042;2016;2016;JAIME MELENDEZ ROJEL;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
