PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10001;2015;2016;PATRICIO CATALAN MONDACA;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD TECNICA FEDERCO SANTA MARIA;81668700-4;CHILE;REGION DE VALPARAISO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10002;2015;2016;CARMEN SOTOMAYOR ECHENIQUE;MUJER;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10006;2015;2016;MARIO MAINO MENENDEZ;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10010;2015;2016;PATRICIO RODRIGUEZ VALDES;HOMBRE;BENEFICIARIA ASOCIADA;UNIVERSIDAD ADOLFO IBANEZ;71543200-5;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10010;2015;2016;PATRICIO RODRIGUEZ VALDES;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10016;2015;2016;VICTOR OLAVARRIA CONTRERAS;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD AUSTRAL DE CHILE;81380500-6;CHILE;REGION DE LOS RIOS
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10021;2015;2016;JUAN VELASQUEZ SILVA;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10027;2015;2016;MILLARAY CURILEM SALDIAS;MUJER;BENEFICIARIA ASOCIADA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10027;2015;2016;MILLARAY CURILEM SALDIAS;MUJER;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10028;2015;2016;HECTOR BUSTOS ROJAS;HOMBRE;BENEFICIARIA ASOCIADA;UNIVERSIDAD DE LOS LAGOS;70772100-6;CHILE;REGION DE LOS LAGOS
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10028;2015;2016;HECTOR BUSTOS ROJAS;HOMBRE;BENEFICIARIA PRINCIPAL;UNIVERSIDAD SANTO TOMAS;71551500-8;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEF;IV CONCURSO DE INVESTIGACION TECNOLOGICA FONDEF 2015;IT15I10033;2015;2016;CLAUDIA SEPULVEDA VEGA;MUJER;BENEFICIARIA PRINCIPAL;UNIVERSIDAD DE ANTOFAGASTA;70791800-4;CHILE;REGION DE ANTOFAGASTA
