PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160102;2015;2016;LUIS MERINO MONTERO;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160114;2015;2016;NICOLAS YUTRONIC SAEZ;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160180;2015;2016;EDUARDO  SANTA CRUZ ACHURRA;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160219;2015;2016;PABLO CORRO PENJEAN;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160303;2015;2016;RODRIGO ASUN INOSTROZA;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160343;2015;2016;JEAN MATUS ACUNA;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160388;2015;2016;RODRIGO  MOULIAN TESMER;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160467;2015;2016;RICARDO FELMER DORNER;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160511;2015;2016;MARIA SANHUEZA RIQUELME;MUJER;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160540;2015;2016;MARTA GARCIA HUIDOBRO CAMPOS;MUJER;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160547;2015;2016;JUAN YIANATOS BERNARDINO;HOMBRE;INSTITUCION APORTANTE;CORPORACION NACIONAL DEL COBRE;61704000-K;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160602;2015;2016;ADELA MONTERO VEGA;MUJER;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160637;2015;2016;RUBEN DITTUS BENAVENTE;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160804;2015;2016;JAVIER CASTRO SEPULVEDA;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160871;2015;2016;MARIA SANTELICES ETCHEGARAY;MUJER;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160942;2015;2016;EDUARDO PEREIRA ULLOA;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
FONDECYT;FONDECYT REGULAR 2016;1160943;2015;2016;JUAN HERRERA MALDONADO;HOMBRE;INSTITUCION SECUNDARIA;PARTICULAR;-;CHILE;NO REGISTRA REGION
