PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160001;2015;2016;JOSE TOMAS ALVARADO MARAMBIO;HOMBRE;JOSE TOMAS ALVARADO MARAMBIO;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160004;2015;2016;CRISTIAN GONZALEZ AVILES;HOMBRE;CRISTIAN GONZALEZ AVILES;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE LA SERENA
FONDECYT;FONDECYT REGULAR 2016;1160017;2015;2016;ALESSANDRO SANTONI;HOMBRE;ALESSANDRO SANTONI;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160017;2015;2016;ALESSANDRO SANTONI;HOMBRE;RAUL PEDRO ELGUETA ROSAS;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160018;2015;2016;ALEXANDER NEAMAN;HOMBRE;ALEXANDER NEAMAN;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160018;2015;2016;ALEXANDER NEAMAN;HOMBRE;EVA MADRID;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160018;2015;2016;ALEXANDER NEAMAN;HOMBRE;WALDO QUIROZ;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160018;2015;2016;ALEXANDER NEAMAN;HOMBRE;MANUEL BRAVO;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
FONDECYT;FONDECYT REGULAR 2016;1160019;2015;2016;GRINOR ROJO DE LA ROSA;HOMBRE;GRINOR ROJO DE LA ROSA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160025;2015;2016;VLADIMIR MARIANOV KLUGE;HOMBRE;VLADIMIR MARIANOV KLUGE;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160025;2015;2016;VLADIMIR MARIANOV KLUGE;HOMBRE;ARMIN MAURICIO LUER VILLAGRA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD ANDRES BELLO
FONDECYT;FONDECYT REGULAR 2016;1160026;2015;2016;JULIO GUTIERREZ CAMUS;HOMBRE;JULIO GUTIERREZ CAMUS;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE LA SERENA
FONDECYT;FONDECYT REGULAR 2016;1160026;2015;2016;JULIO GUTIERREZ CAMUS;HOMBRE;MARIA ALEJANDRA TRONCOSO JOFFRE;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE LA SERENA
FONDECYT;FONDECYT REGULAR 2016;1160030;2015;2016;ROGER BUSTAMANTE PLAZA;HOMBRE;ROGER BUSTAMANTE PLAZA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160030;2015;2016;ROGER BUSTAMANTE PLAZA;HOMBRE;ALEJANDRO ANDRES ORTIZ BERNARDIN;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160031;2015;2016;SANTIAGO GREZ TOSO;HOMBRE;SANTIAGO GREZ TOSO;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160037;2015;2016;GIORGO SERTSIOS BELMAR;HOMBRE;GIORGO SERTSIOS BELMAR;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE LOS ANDES
FONDECYT;FONDECYT REGULAR 2016;1160043;2015;2016;FRANCISCO SEPULVEDA VALENZUELA;HOMBRE;FRANCISCO SEPULVEDA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;CENTRO DE ESTUDIOS CIENTIFICOS
FONDECYT;FONDECYT REGULAR 2016;1160043;2015;2016;FRANCISCO SEPULVEDA VALENZUELA;HOMBRE;MARIA ISABEL NIEMEYER MARICH;COINVESTIGADOR(A);MUJER;CENTRO DE ESTUDIOS CIENTIFICOS
FONDECYT;FONDECYT REGULAR 2016;1160043;2015;2016;FRANCISCO SEPULVEDA VALENZUELA;HOMBRE;PABLO CID SOTO;COINVESTIGADOR(A);HOMBRE;CENTRO DE ESTUDIOS CIENTIFICOS
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;HECTOR GALLARDO IBANEZ;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;JOSE BLANCO JARA;COINVESTIGADOR(A);HOMBRE;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;BENJAMIN BALLESTER RIESCO;COINVESTIGADOR(A);HOMBRE;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;ELISA CALAS PERSICO;COINVESTIGADOR(A);MUJER;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;CAROLE SINCLAIRE AGUIRRE;COINVESTIGADOR(A);MUJER;FUNDACION FAMILIA LARRAIN ECHENIQUE-MUSEO CHILENO DE ARTE PRECOLOMBINO
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;VIRGINIA MCROSTIE;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;ITACI CORREA GIRRULAT;COINVESTIGADOR(A);MUJER;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160045;2015;2016;HECTOR GALLARDO IBANEZ;HOMBRE;GONZALO PIMENTEL GUZMAN;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD CATOLICA DEL NORTE
FONDECYT;FONDECYT REGULAR 2016;1160048;2015;2016;ROBERTO VASSOLO;HOMBRE;ROBERTO VASSOLO;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160048;2015;2016;ROBERTO VASSOLO;HOMBRE;STEPHEN ZHANG;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160051;2015;2016;CLAUDIO VASQUEZ GUZMAN;HOMBRE;CLAUDIO VASQUEZ GUZMAN;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160061;2015;2016;RENATO CONTRERAS RAMOS;HOMBRE;RENATO CONTRERAS RAMOS;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160061;2015;2016;RENATO CONTRERAS RAMOS;HOMBRE;RODRIGO ALBERTO ORMAZABAL TOLEDO;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160066;2015;2016;JOSE SALMERON SILVERA;HOMBRE;JOSE SALMERON SILVERA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD AUTONOMA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160072;2015;2016;FRANCISCO DE LARA;HOMBRE;FRANCISCO DE LARA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
